anio,region,area_km2,gini,pib_per_capita,tasa_pobr,pobl_total,tasa_informalidad,idh,ingreso_medio,prom_anio_estudio,tasa_homicidios,densidad_pobl
2012-01-01,Rondônia,238512.80000000005,0.487,16.1976442139243,39.9,1628,NA,0.692,1246.7172897391724,NA,33.08,0.006825629484036076
2013-01-01,Rondônia,238512.80000000005,0.475,14.3263937066782,37.5,1648,NA,0.694,1241.6871880977644,NA,27.95,0.0069094824261004
2014-01-01,Rondônia,238512.80000000005,0.443,14.35718640172,35.6,1668,NA,0.691,1230.2830775091975,NA,33.06,0.006993335368164726
2015-01-01,Rondônia,238512.80000000005,0.462,14.1809680153005,37.8,1688,NA,0.689,1224.803031596455,NA,33.93,0.0070771883102290515
2016-01-01,Rondônia,238512.80000000005,0.465,14.0062209633168,37.6,1708,46.6,0.686,1194.0166833903108,8,39.33,0.007161041252293376
2017-01-01,Rondônia,238512.80000000005,0.447,14.7460963776224,34.7,1727,49.5,0.693,1250.2393726901892,8.4,30.68,0.007240701547254485
2018-01-01,Rondônia,238512.80000000005,0.496,14.9647054438526,33.5,1747,48,0.71,1413.3830403826867,8.6,27.08,0.007324554489318811
2019-01-01,Rondônia,238512.80000000005,0.472,14.8879108373528,32.5,1767,50.9,0.705,1371.5913212492242,8.8,25.15,0.007408407431383136
2020-01-01,Rondônia,238512.80000000005,0.439,15.1572098950749,28.7,1786,47.6,0.704,1352.288466376011,NA,25.38,0.007488067726344245
2021-01-01,Rondônia,238512.80000000005,0.459,14.9583531023733,39.2,1717,48.7,0.677,1144.5474531167974,NA,29.52,0.007198775076222323
2022-01-01,Rondônia,238512.80000000005,0.447,18.1630115514784,29.6,1721,48.1,NA,1384.7667344540737,9.2,32.97,0.007215545664635188
2023-01-01,Rondônia,238512.80000000005,0.455,NA,24.4140564982483,1727,48.2,NA,1523.3966753986758,9,29.98370450841934,0.007240701547254485
2024-01-01,Rondônia,238512.80000000005,0.443,NA,20.489069004458543,1733,44.5,NA,1720.1111225559157,9.2,NA,0.007265857429873783
2012-01-01,Acre,153149.9,0.566,11.4269877798881,53.9,777,NA,0.67,1126.6679900475265,NA,27.41,0.0050734607074506746
2013-01-01,Acre,153149.9,0.553,11.7561880507106,53.5,790,NA,0.67,1112.650610111155,NA,30.14,0.005158344863431187
2014-01-01,Acre,153149.9,0.529,12.5657562388997,51.4,803,NA,0.669,1116.2610181813634,NA,29.36,0.005243229019411701
2015-01-01,Acre,153149.9,0.549,11.6269553642533,52.5,816,NA,0.674,1157.3996296505825,NA,27.01,0.0053281131753922135
2016-01-01,Acre,153149.9,0.563,10.6839845090227,56.6,828,54,0.66,1050.7185702608822,8,44.45,0.005406467780912688
2017-01-01,Acre,153149.9,0.545,10.5275709347469,54.6,840,50,0.655,1025.589806014683,8.3,62.2,0.005484822386433162
2018-01-01,Acre,153149.9,0.558,10.3282264439857,50.2,853,52.7,0.676,1180.2807896726067,8.4,47.05,0.0055697065424136745
2019-01-01,Acre,153149.9,0.559,9.95767696896207,51.9,865,51.6,0.668,1113.2394011444321,8.7,36.85,0.005648061147934149
2020-01-01,Acre,153149.9,0.515,9.72060944942441,48.4,878,51.6,0.668,1122.504679042041,NA,33.98,0.005732945303914661
2021-01-01,Acre,153149.9,0.539,11.0020592940565,54.1,848,46.5,0.655,1011.46758708461,NA,22.6,0.005537058790113477
2022-01-01,Acre,153149.9,0.523,12.2645037316928,51,852,47.2,NA,1073.6646416740416,9.4,26.39,0.005563176991953635
2023-01-01,Acre,153149.9,0.511,NA,51.49683073689808,856,45.1,NA,1074.354951007459,9,23.7417943107221,0.005589295193793793
2024-01-01,Acre,153149.9,0.504,NA,45.94635325388744,860,43.9,NA,1258.9802343104113,9.2,NA,0.005615413395633951
2012-01-01,Amazonas,1577820.2000000004,0.589,17.206097604927,53.5,3541,NA,0.683,1175.537880411467,NA,37.43,0.0022442354331627893
2013-01-01,Amazonas,1577820.2000000004,0.581,17.3513491371733,53.4,3605,NA,0.683,1161.5813240654336,NA,31.28,0.002284797722833057
2014-01-01,Amazonas,1577820.2000000004,0.562,16.5043867241644,50.6,3671,NA,0.683,1172.9381934580142,NA,32.01,0.002326627584055521
2015-01-01,Amazonas,1577820.2000000004,0.553,15.0743297144614,52.2,3736,NA,0.673,1109.2313662075333,NA,37.38,0.002367823659501887
2016-01-01,Amazonas,1577820.2000000004,0.558,14.1154730194179,59.3,3798,55.9,0.654,973.7683011443994,9,36.28,0.002407118377619959
2017-01-01,Amazonas,1577820.2000000004,0.591,14.0405494097533,56.7,3859,58.1,0.672,1096.4099172736703,9.4,41.19,0.0024457793099619328
2018-01-01,Amazonas,1577820.2000000004,0.544,14.3665643845675,55.2,3922,54.3,0.655,1002.5260233275491,9.5,37.79,0.002485707813856103
2019-01-01,Amazonas,1577820.2000000004,0.566,14.6657477161794,56.4,3983,55.4,0.658,1019.8757695415878,9.8,38.41,0.0025243687461980768
2020-01-01,Amazonas,1577820.2000000004,0.533,14.5506078559738,51.6,4044,59.1,0.657,1009.4612004283591,NA,31.51,0.002563029678540051
2021-01-01,Amazonas,1577820.2000000004,0.541,14.378978209820101,58.4,4000,59.8,0.641,914.875913795966,NA,42.52,0.002535143104391742
2022-01-01,Amazonas,1577820.2000000004,0.509,15.8321972541652,55.1,4039,58.1,NA,990.7277376129393,10.1,42.55,0.002559860749659561
2023-01-01,Amazonas,1577820.2000000004,0.512,NA,45.49327558084757,4078,57.2,NA,1165.8202527092858,10.1,36.83961146647714,0.002584578394927381
2024-01-01,Amazonas,1577820.2000000004,0.474,NA,39.21087358901987,4117,53.3,NA,1229.9496248054963,10.3,NA,0.0026092960401952
2012-01-01,Roraima,225116.1,0.549,14.0469231462247,41.4,427,NA,0.717,1450.5406346306765,NA,30.67,0.0018967990294785667
2013-01-01,Roraima,225116.1,0.556,14.6876033648444,42.5,437,NA,0.723,1486.3405681386132,NA,43.85,0.001941220552417175
2014-01-01,Roraima,225116.1,0.523,14.4647338472252,39.3,446,NA,0.712,1406.1863330953065,NA,31.79,0.0019811999230619224
2015-01-01,Roraima,225116.1,0.537,13.8916143598239,38,457,NA,0.719,1475.058820360269,NA,40.15,0.002030063598294391
2016-01-01,Roraima,225116.1,0.537,13.586597638226,40.3,468,44.3,0.714,1416.7159802639594,9.6,39.67,0.00207892727352686
2017-01-01,Roraima,225116.1,0.526,14.172564025136,43.7,487,44,0.697,1285.1709541035457,10,47.45,0.0021633281671102154
2018-01-01,Roraima,225116.1,0.566,13.5795212567416,40.3,513,44.6,0.723,1529.7733300880802,10,71.8,0.0022788241267505966
2019-01-01,Roraima,225116.1,0.58,13.2566489963717,49.7,540,48.3,0.696,1291.3554974214653,10.4,38.63,0.0023987622386848384
