"pais","anio","region","region_id","tramo","contribucion_po","contribucion_empleo","contribucion_vtas","contribucion_sal_neto","ent_nr","emp_nr","ventas_anuales_en_uf","sal_neto","poblacion","km_2","densidad_pobl","pib_regional","aporte_pib","pbi_per_capita","tasa_ocupacion","tasa_desempleo","tasa_informalidad","tasa_pobreza","anios_educacion_promedio","sin_educacion","basica_incompleta","basica_completa","media_incompleta","media_completa","superior_incompleta","superior_completa","renta_media_laboral_hogar","renta_media_autonoma_hogar","subsidios_promedio_hogar","renta_media_hogar","share_ing_trabajo","esperanza_vida","tasa_mortalidad_general","tasa_mortalidad_infantil","tasa_homicidios","tasa_denuncias_delitos_graves","ent_per_1000","tasa_empleo_pyme"
"Chile",2005,"Región de Antofagasta",3,"Micro",0.682733399079553,0.140911826662654,0.0391784314270972,1058856.40537646,16615,24349,8371882.39,1390077.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Antofagasta",3,"Pequeña",0.135437212360289,0.291019468043242,0.10772021637757,2910379.4684699,3296,50287,23018302.41,3803674.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Magallanes y la Antártica Chilena",16,"Mediana",0.0182019308125503,0.191082451499118,0.193576921658167,608850.009788041,181,13868,8772915.72,738614.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de La Araucanía",12,"Sin Ventas/Sin Información",0.150340675751353,0.0608788626793564,0,1912984.84731768,6443,13836,0,2163261.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Maule",9,"Pequeña",0.102173804904741,0.357085553378571,0.255537582848713,4182722.13609549,6162,111721,41482299.69,4919992.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Valparaíso",6,"Grande",0.00497649075009887,0.259209818622464,0.779825679768198,21498523.4695122,453,160004,592631106.75,24598668.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Ñuble",11,"Mediana",0.0105970641596569,0.203108411840658,0.163195165500926,1604006.33265262,257,21236,11529219.42,1798491.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Tarapacá",2,"Grande",0.0157773564463705,0.305819988062601,0.691456965738944,3153127.50974308,233,30230,92467018.09,3885009.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Tarapacá",2,"Pequeña",0.129943120260022,0.305819988062601,0.110856945657585,1386138.04465168,1919,30230,14824655.34,1754389.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Maule",9,"Mediana",0.00983269495431859,0.170266149730398,0.172435565583958,2912842.70771019,593,53271,27992061.79,3317425.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
