anio,id_region,region,renta_media_hogar,renta_media_hogar_unidad,pbi_per_capita,pbi_per_capita_unidad,densidad_pobl,densidad_pobl_unidad,pobl_total,pobl_total_unidad,tasa_homicidios,tasa_homicidios_unidad,tasa_pobreza,tasa_pobreza_unidad,hdi,hdi_unidad
2008-01-01,ITC1,Piemonte,22700,EUR_HAB,29400,EUR_HAB,174.7,PER_KM2,NA,NA,0.6,P_HTHAB,12.1,PC,0.888,Indice
2009-01-01,ITC1,Piemonte,21100,EUR_HAB,27300,EUR_HAB,175.3,PER_KM2,NA,NA,0.57,P_HTHAB,10.6,PC,0.886,Indice
2010-01-01,ITC1,Piemonte,21100,EUR_HAB,28300,EUR_HAB,175.5,PER_KM2,NA,NA,0.94,P_HTHAB,13.2,PC,0.89,Indice
2011-01-01,ITC1,Piemonte,21500,EUR_HAB,28900,EUR_HAB,175.4,PER_KM2,NA,NA,0.78,P_HTHAB,13.2,PC,0.893,Indice
2012-01-01,ITC1,Piemonte,20900,EUR_HAB,27900,EUR_HAB,175.6,PER_KM2,NA,NA,0.73,P_HTHAB,12.9,PC,0.89,Indice
2013-01-01,ITC1,Piemonte,20800,EUR_HAB,28200,EUR_HAB,173.5,PER_KM2,NA,NA,0.62,P_HTHAB,11.1,PC,0.89,Indice
2014-01-01,ITC1,Piemonte,20900,EUR_HAB,28200,EUR_HAB,178.2,PER_KM2,4420924,NR,0.61,P_HTHAB,13.8,PC,0.894,Indice
2015-01-01,ITC1,Piemonte,21300,EUR_HAB,28900,EUR_HAB,177.6,PER_KM2,4403562,NR,0.47,P_HTHAB,11.9,PC,0.893,Indice
2016-01-01,ITC1,Piemonte,21500,EUR_HAB,29700,EUR_HAB,176.9,PER_KM2,4384226,NR,0.59,P_HTHAB,14.2,PC,0.899,Indice
2017-01-01,ITC1,Piemonte,22100,EUR_HAB,30800,EUR_HAB,174.3,PER_KM2,4370348,NR,0.48,P_HTHAB,14,PC,0.904,Indice
2018-01-01,ITC1,Piemonte,22700,EUR_HAB,31600,EUR_HAB,173.6,PER_KM2,4349911,NR,0.46,P_HTHAB,14.2,PC,0.908,Indice
2019-01-01,ITC1,Piemonte,22900,EUR_HAB,31900,EUR_HAB,172.3,PER_KM2,4328565,NR,0.55,P_HTHAB,13.4,PC,0.912,Indice
2020-01-01,ITC1,Piemonte,21300,EUR_HAB,29500,EUR_HAB,171.8,PER_KM2,4311217,NR,0.65,P_HTHAB,13.5,PC,0.903,Indice
2021-01-01,ITC1,Piemonte,23000,EUR_HAB,32200,EUR_HAB,170.7,PER_KM2,4274945,NR,0.54,P_HTHAB,13.7,PC,0.916,Indice
2022-01-01,ITC1,Piemonte,24500,EUR_HAB,34500,EUR_HAB,169.1,PER_KM2,4256350,NR,0.42,P_HTHAB,13.3,PC,0.911,Indice
2023-01-01,ITC1,Piemonte,26100,EUR_HAB,36700,EUR_HAB,169,PER_KM2,4251351,NR,NA,P_HTHAB,11.9,PC,0.92,Indice
2008-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,23000,EUR_HAB,37500,EUR_HAB,38.9,PER_KM2,NA,NA,0,P_HTHAB,9,PC,NA,NA
2009-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,22100,EUR_HAB,35700,EUR_HAB,39.1,PER_KM2,NA,NA,0.79,P_HTHAB,9.3,PC,NA,NA
2010-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,22200,EUR_HAB,37300,EUR_HAB,39.1,PER_KM2,NA,NA,0,P_HTHAB,9.2,PC,NA,NA
2011-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,22400,EUR_HAB,38000,EUR_HAB,39.1,PER_KM2,NA,NA,1.58,P_HTHAB,8.5,PC,NA,NA
2012-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,22000,EUR_HAB,38200,EUR_HAB,39.3,PER_KM2,NA,NA,0.79,P_HTHAB,9.7,PC,NA,NA
2013-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,21200,EUR_HAB,36500,EUR_HAB,39.3,PER_KM2,NA,NA,0,P_HTHAB,9.5,PC,NA,NA
2014-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,21100,EUR_HAB,36300,EUR_HAB,39.7,PER_KM2,128245,NR,0,P_HTHAB,8.4,PC,NA,NA
2015-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,21200,EUR_HAB,36500,EUR_HAB,39.5,PER_KM2,127972,NR,0.78,P_HTHAB,7,PC,NA,NA
2016-01-01,ITC2,Valle d'Aosta/Vallée d'Aoste,21100,EUR_HAB,36300,EUR_HAB,39.2,PER_KM2,127030,NR,0,P_HTHAB,14.6,PC,NA,NA
