"pais","anio","region","region_id","tramo","contribucion_po","contribucion_vtas","ent_nr","ent_per_1000","n_muertes","n_nace","tm","tn","ts1","tasa_informalidad","tasa_pobreza","tasa_homicidios","tasa_desempleo","poblacion","km_2","densidad_poblacion","pib_regional","ingresos_promedio_per_capita","ingreso_medio_hogares","idh","gini","esperanza_vida_mujeres","esperanza_vida_hombres","aporte_pib","anios_educacion_promedio"
"Uruguay",2011,"Montevideo",1,"Micro",17.3617153,2.1328468,63992,46.5213805752683,9577,12502,14.9659332,19.5368171,85.0340668,20.51299994,16.8,NA,6.2,1375539.57360456,530,2595.35768604634,318058.2727,43062.2,90155.95938,0.830465058,0.409,80.1,72.8,50.28822159,10.35371488
"Uruguay",2011,"Montevideo",1,"Pequeña",19.2512722,3.6653535,13285,9.65802820575133,526,653,3.9593527,4.915318,96.0406473,20.51299994,16.8,NA,6.2,1375539.57360456,530,2595.35768604634,318058.2727,43062.2,90155.95938,0.830465058,0.409,80.1,72.8,50.28822159,10.35371488
"Uruguay",2011,"Montevideo",1,"Mediana",22.0827198,10.1487284,3078,2.23766735546124,65,87,2.1117609,2.8265107,97.8882391,20.51299994,16.8,NA,6.2,1375539.57360456,530,2595.35768604634,318058.2727,43062.2,90155.95938,0.830465058,0.409,80.1,72.8,50.28822159,10.35371488
"Uruguay",2011,"Montevideo",1,"Grandes",41.3042946,84.0530701,602,0.437646441841347,9,10,NA,NA,NA,20.51299994,16.8,NA,6.2,1375539.57360456,530,2595.35768604634,318058.2727,43062.2,90155.95938,0.830465058,0.409,80.1,72.8,50.28822159,10.35371488
"Uruguay",2012,"Montevideo",1,"Micro",17.4280567,2.1614623,65002,47.2444297323936,9990,12135,15.3687579,18.6686563,84.6312421,19.30094279,16.7,NA,6.5,1375865.90351901,530,2595.97340286605,331040.0472,40705.1,88948.57563,0.830554283,0.385,80.2,73,50.75571935,10.29762667
"Uruguay",2012,"Montevideo",1,"Pequeña",18.9714794,3.7103083,14952,10.8673381335767,657,666,4.394061,4.4542536,95.605939,19.30094279,16.7,NA,6.5,1375865.90351901,530,2595.97340286605,331040.0472,40705.1,88948.57563,0.830554283,0.385,80.2,73,50.75571935,10.29762667
"Uruguay",2012,"Montevideo",1,"Mediana",22.0953503,10.4884186,2939,2.13610933484362,83,45,2.8240898,1.531133,97.1759102,19.30094279,16.7,NA,6.5,1375865.90351901,530,2595.97340286605,331040.0472,40705.1,88948.57563,0.830554283,0.385,80.2,73,50.75571935,10.29762667
"Uruguay",2012,"Montevideo",1,"Grandes",41.5051117,83.6398163,604,0.438996270243466,21,4,NA,NA,NA,19.30094279,16.7,NA,6.5,1375865.90351901,530,2595.97340286605,331040.0472,40705.1,88948.57563,0.830554283,0.385,80.2,73,50.75571935,10.29762667
"Uruguay",2013,"Montevideo",1,"Micro",17.4764633,2.0726087,66438,48.3709737576006,10251,11708,15.4294229,17.622445,84.5705771,18.15208468,15.7,NA,6.5,1373509.6657954,530,2591.52767131207,345245.145032135,42789.3,93867.99587,0.833490264,0.398,80.3,73.2,50.10065481,10.36520204
"Uruguay",2013,"Montevideo",1,"Pequeña",18.8733139,3.500222,12656,9.21435088166702,525,687,4.1482301,5.4282554,95.8517699,18.15208468,15.7,NA,6.5,1373509.6657954,530,2591.52767131207,345245.145032135,42789.3,93867.99587,0.833490264,0.398,80.3,73.2,50.10065481,10.36520204
