anio,departamento,tramo,contribucion_po,contribucion_vtas,n_empresas,n_muertes,n_nace,tm,tn,ts1
2022,Artigas,Micro,40.6744308,19.5004349,2687,470,561,17.4916263,20.8783029,82.5083737
2022,Artigas,Pequeñas,24.1513004,27.1975918,266,2,6,0.7518797,2.2556391,99.2481203
2022,Artigas,Medianas,19.242548,33.5771561,52,NA,NA,NA,NA,100
2022,Artigas,Grandes,15.931716,19.7248173,3,NA,NA,NA,NA,NA
2022,Canelones,Micro,33.2388039,8.1997614,24218,4063,5479,16.7767776,22.6236683,83.2232224
2022,Canelones,Pequeñas,20.9432907,10.3251104,2557,34,30,1.3296832,1.1732499,98.6703168
2022,Canelones,Medianas,22.9595509,23.3198433,597,2,3,0.3350084,0.5025126,99.6649916
2022,Canelones,Grandes,22.8583527,58.1552811,76,NA,NA,NA,NA,NA
2022,Cerro Largo,Micro,34.1437378,14.9179363,3289,518,697,15.7494679,21.1918516,84.2505321
2022,Cerro Largo,Pequeñas,23.8038731,19.2116394,315,3,6,0.952381,1.9047619,99.047619
2022,Cerro Largo,Medianas,19.2185974,29.4484596,46,NA,1,NA,2.173913,100
2022,Cerro Largo,Grandes,22.8337936,36.4219666,5,NA,NA,NA,NA,NA
2022,Colonia,Micro,33.4291039,4.7673645,7935,1200,1601,15.1228733,20.1764335,84.8771267
2022,Colonia,Pequeñas,21.5911121,7.2663255,893,7,6,0.7838746,0.6718925,99.2161254
2022,Colonia,Medianas,21.0225124,13.2778225,176,NA,NA,NA,NA,100
2022,Colonia,Grandes,23.9572773,74.6884842,22,NA,NA,NA,NA,NA
2022,Durazno,Micro,31.7000771,5.920639,2411,406,449,16.8394857,18.622978,83.1605143
2022,Durazno,Pequeñas,22.609705,9.7814932,278,5,5,1.7985612,1.7985612,98.2014388
2022,Durazno,Medianas,16.2708931,15.705348,35,NA,NA,NA,NA,100
2022,Durazno,Grandes,29.4193287,68.5925217,7,NA,NA,NA,NA,NA
2022,Flores,Micro,37.1868782,9.1944103,1248,186,233,14.9038462,18.6698718,85.0961538
2022,Flores,Pequeñas,24.6620274,15.8058443,152,2,1,1.3157895,0.6578947,98.6842105
2022,Flores,Medianas,17.9423466,21.4799957,28,NA,NA,NA,NA,100
2022,Flores,Grandes,20.2087479,53.5197487,4,NA,NA,NA,NA,NA
2022,Florida,Micro,36.9568253,9.1992979,3233,514,569,15.8985462,17.5997526,84.1014538
2022,Florida,Pequeñas,24.4540958,16.4473572,383,3,4,0.7832898,1.0443864,99.2167102
2022,Florida,Medianas,22.993906,34.6560211,71,1,NA,1.4084507,NA,98.5915493
2022,Florida,Grandes,15.5951719,39.6973267,5,NA,NA,NA,NA,NA
2022,Lavalleja,Micro,36.7417526,14.9587936,2593,399,502,15.387582,19.3598149,84.612418
2022,Lavalleja,Pequeñas,21.9967823,18.2721577,290,2,2,0.6896552,0.6896552,99.3103448
2022,Lavalleja,Medianas,19.4048233,30.4097939,51,1,1,1.9607843,1.9607843,98.0392157
2022,Lavalleja,Grandes,21.8566418,36.3592567,6,NA,NA,NA,NA,NA
2022,Maldonado,Micro,31.0018425,11.7464104,13551,2387,3409,17.6149362,25.156815,82.3850638
2022,Maldonado,Pequeñas,23.6619492,16.6397209,1601,35,38,2.1861337,2.3735166,97.8138663
2022,Maldonado,Medianas,21.9670849,28.2793999,331,NA,1,NA,0.3021148,100
2022,Maldonado,Grandes,23.3691254,43.334465,32,1,NA,NA,NA,NA
2022,Montevideo,Micro,20.6452942,1.7978581,84276,14077,17840,16.7034506,21.1685415,83.2965494
