Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;;;;Índice de Gini;2023;32,1
Total Nacional;;;;Índice de Gini;2022;32,6
Total Nacional;;;;Índice de Gini;2021;32,6
Total Nacional;;;;Índice de Gini;2020;""
Total Nacional;;;;Índice de Gini;2019;""
Total Nacional;;;;Índice de Gini;2018;""
Total Nacional;;;;Índice de Gini;2017;""
Total Nacional;;;;Índice de Gini;2016;""
Total Nacional;;;;Índice de Gini;2015;""
Total Nacional;;;;Distribución de la renta P80/P20;2023;2,8
Total Nacional;;;;Distribución de la renta P80/P20;2022;2,9
Total Nacional;;;;Distribución de la renta P80/P20;2021;2,7
Total Nacional;;;;Distribución de la renta P80/P20;2020;""
Total Nacional;;;;Distribución de la renta P80/P20;2019;""
Total Nacional;;;;Distribución de la renta P80/P20;2018;""
Total Nacional;;;;Distribución de la renta P80/P20;2017;""
Total Nacional;;;;Distribución de la renta P80/P20;2016;""
Total Nacional;;;;Distribución de la renta P80/P20;2015;""
Total Nacional;Andalucía;;;Índice de Gini;2023;31,3
Total Nacional;Andalucía;;;Índice de Gini;2022;32
Total Nacional;Andalucía;;;Índice de Gini;2021;32,1
Total Nacional;Andalucía;;;Índice de Gini;2020;33
Total Nacional;Andalucía;;;Índice de Gini;2019;32,7
Total Nacional;Andalucía;;;Índice de Gini;2018;33,6
Total Nacional;Andalucía;;;Índice de Gini;2017;34,5
Total Nacional;Andalucía;;;Índice de Gini;2016;35,7
Total Nacional;Andalucía;;;Índice de Gini;2015;35,8
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2022;2,8
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2017;3
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2016;3,2
Total Nacional;Andalucía;;;Distribución de la renta P80/P20;2015;3,1
Total Nacional;Andalucía;Almería;;Índice de Gini;2023;32
Total Nacional;Andalucía;Almería;;Índice de Gini;2022;32,6
Total Nacional;Andalucía;Almería;;Índice de Gini;2021;32,7
Total Nacional;Andalucía;Almería;;Índice de Gini;2020;33,2
Total Nacional;Andalucía;Almería;;Índice de Gini;2019;33,4
Total Nacional;Andalucía;Almería;;Índice de Gini;2018;34,4
Total Nacional;Andalucía;Almería;;Índice de Gini;2017;35,2
Total Nacional;Andalucía;Almería;;Índice de Gini;2016;36,7
Total Nacional;Andalucía;Almería;;Índice de Gini;2015;36,9
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2018;2,9
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2017;3,1
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2016;3,4
Total Nacional;Andalucía;Almería;;Distribución de la renta P80/P20;2015;3,4
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2023;30,9
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2022;31,7
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2021;32
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2020;32,9
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2019;32,6
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2018;33,6
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2017;34,5
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2016;35,6
Total Nacional;Andalucía;Cádiz;;Índice de Gini;2015;36
Total Nacional;Andalucía;Cádiz;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Andalucía;Cádiz;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Andalucía;Cádiz;;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Andalucía;Cádiz;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Andalucía;Cádiz;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Andalucía;Cádiz;;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Andalucía;Cádiz;;Distribución de la renta P80/P20;2017;3
