Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;;;Índice de Gini;2023;31,3
Total Nacional;Andalucía;;;Índice de Gini;2022;32,0
Total Nacional;Andalucía;;;Índice de Gini;2021;32,1
Total Nacional;Andalucía;;;Índice de Gini;2020;33,0
Total Nacional;Andalucía;;;Índice de Gini;2019;32,7
Total Nacional;Andalucía;;;Índice de Gini;2018;33,6
Total Nacional;Andalucía;;;Índice de Gini;2017;34,5
Total Nacional;Andalucía;;;Índice de Gini;2016;35,7
Total Nacional;Andalucía;;;Índice de Gini;2015;35,8
Total Nacional;Aragón;;;Índice de Gini;2023;28,8
Total Nacional;Aragón;;;Índice de Gini;2022;29,0
Total Nacional;Aragón;;;Índice de Gini;2021;29,1
Total Nacional;Aragón;;;Índice de Gini;2020;29,7
Total Nacional;Aragón;;;Índice de Gini;2019;29,8
Total Nacional;Aragón;;;Índice de Gini;2018;30,2
Total Nacional;Aragón;;;Índice de Gini;2017;30,8
Total Nacional;Aragón;;;Índice de Gini;2016;32,2
Total Nacional;Aragón;;;Índice de Gini;2015;32,0
Total Nacional;Asturias, Principado de;;;Índice de Gini;2023;29,4
Total Nacional;Asturias, Principado de;;;Índice de Gini;2022;29,4
Total Nacional;Asturias, Principado de;;;Índice de Gini;2021;29,6
Total Nacional;Asturias, Principado de;;;Índice de Gini;2020;30,3
Total Nacional;Asturias, Principado de;;;Índice de Gini;2019;30,4
Total Nacional;Asturias, Principado de;;;Índice de Gini;2018;30,9
Total Nacional;Asturias, Principado de;;;Índice de Gini;2017;31,3
Total Nacional;Asturias, Principado de;;;Índice de Gini;2016;31,8
Total Nacional;Asturias, Principado de;;;Índice de Gini;2015;32,0
Total Nacional;Balears, Illes;;;Índice de Gini;2023;30,6
Total Nacional;Balears, Illes;;;Índice de Gini;2022;31,0
Total Nacional;Balears, Illes;;;Índice de Gini;2021;31,7
Total Nacional;Balears, Illes;;;Índice de Gini;2020;32,8
Total Nacional;Balears, Illes;;;Índice de Gini;2019;31,4
Total Nacional;Balears, Illes;;;Índice de Gini;2018;31,9
Total Nacional;Balears, Illes;;;Índice de Gini;2017;32,3
Total Nacional;Balears, Illes;;;Índice de Gini;2016;33,7
Total Nacional;Balears, Illes;;;Índice de Gini;2015;34,0
Total Nacional;Canarias;;;Índice de Gini;2023;31,7
Total Nacional;Canarias;;;Índice de Gini;2022;32,5
Total Nacional;Canarias;;;Índice de Gini;2021;33,2
Total Nacional;Canarias;;;Índice de Gini;2020;33,8
Total Nacional;Canarias;;;Índice de Gini;2019;33,3
Total Nacional;Canarias;;;Índice de Gini;2018;33,9
Total Nacional;Canarias;;;Índice de Gini;2017;34,4
Total Nacional;Canarias;;;Índice de Gini;2016;35,8
Total Nacional;Canarias;;;Índice de Gini;2015;36,1
Total Nacional;Cantabria;;;Índice de Gini;2023;29,0
Total Nacional;Cantabria;;;Índice de Gini;2022;29,2
Total Nacional;Cantabria;;;Índice de Gini;2021;29,4
Total Nacional;Cantabria;;;Índice de Gini;2020;30,1
Total Nacional;Cantabria;;;Índice de Gini;2019;30,0
Total Nacional;Cantabria;;;Índice de Gini;2018;30,4
Total Nacional;Cantabria;;;Índice de Gini;2017;30,9
Total Nacional;Cantabria;;;Índice de Gini;2016;31,8
