Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
08001 Abrera;;;Renta neta media por hogar;2023;45.010
08001 Abrera;;;Renta neta media por hogar;2022;42.573
08001 Abrera;;;Renta neta media por hogar;2021;41.104
08001 Abrera;;;Renta neta media por hogar;2020;39.531
08001 Abrera;;;Renta neta media por hogar;2019;39.439
08001 Abrera;;;Renta neta media por hogar;2018;37.966
08001 Abrera;;;Renta neta media por hogar;2017;36.568
08001 Abrera;;;Renta neta media por hogar;2016;35.621
08001 Abrera;;;Renta neta media por hogar;2015;33.990
08002 Aguilar de Segarra;;;Renta neta media por hogar;2023;52.124
08002 Aguilar de Segarra;;;Renta neta media por hogar;2022;48.930
08002 Aguilar de Segarra;;;Renta neta media por hogar;2021;47.986
08002 Aguilar de Segarra;;;Renta neta media por hogar;2020;45.945
08002 Aguilar de Segarra;;;Renta neta media por hogar;2019;43.960
08002 Aguilar de Segarra;;;Renta neta media por hogar;2018;40.556
08002 Aguilar de Segarra;;;Renta neta media por hogar;2017;40.762
08002 Aguilar de Segarra;;;Renta neta media por hogar;2016;38.635
08002 Aguilar de Segarra;;;Renta neta media por hogar;2015;35.488
08003 Alella;;;Renta neta media por hogar;2023;72.328
08003 Alella;;;Renta neta media por hogar;2022;65.059
08003 Alella;;;Renta neta media por hogar;2021;59.374
08003 Alella;;;Renta neta media por hogar;2020;59.709
08003 Alella;;;Renta neta media por hogar;2019;60.909
08003 Alella;;;Renta neta media por hogar;2018;60.380
08003 Alella;;;Renta neta media por hogar;2017;56.250
08003 Alella;;;Renta neta media por hogar;2016;54.485
08003 Alella;;;Renta neta media por hogar;2015;51.931
08004 Alpens;;;Renta neta media por hogar;2023;42.673
08004 Alpens;;;Renta neta media por hogar;2022;40.844
08004 Alpens;;;Renta neta media por hogar;2021;38.397
08004 Alpens;;;Renta neta media por hogar;2020;35.232
08004 Alpens;;;Renta neta media por hogar;2019;35.142
08004 Alpens;;;Renta neta media por hogar;2018;35.361
08004 Alpens;;;Renta neta media por hogar;2017;34.583
08004 Alpens;;;Renta neta media por hogar;2016;32.991
08004 Alpens;;;Renta neta media por hogar;2015;31.054
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2023;62.740
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2022;61.346
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2021;57.259
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2020;54.737
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2019;56.246
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2018;53.220
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2017;48.534
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2016;48.714
08005 Ametlla del Vallès, L';;;Renta neta media por hogar;2015;47.570
08006 Arenys de Mar;;;Renta neta media por hogar;2023;41.502
08006 Arenys de Mar;;;Renta neta media por hogar;2022;39.322
08006 Arenys de Mar;;;Renta neta media por hogar;2021;36.833
08006 Arenys de Mar;;;Renta neta media por hogar;2020;35.463
08006 Arenys de Mar;;;Renta neta media por hogar;2019;35.656
08006 Arenys de Mar;;;Renta neta media por hogar;2018;34.531
08006 Arenys de Mar;;;Renta neta media por hogar;2017;32.698
08006 Arenys de Mar;;;Renta neta media por hogar;2016;31.747
08006 Arenys de Mar;;;Renta neta media por hogar;2015;30.858
08007 Arenys de Munt;;;Renta neta media por hogar;2023;43.767
08007 Arenys de Munt;;;Renta neta media por hogar;2022;40.544
08007 Arenys de Munt;;;Renta neta media por hogar;2021;38.920
08007 Arenys de Munt;;;Renta neta media por hogar;2020;37.381
08007 Arenys de Munt;;;Renta neta media por hogar;2019;37.200
08007 Arenys de Munt;;;Renta neta media por hogar;2018;35.626
08007 Arenys de Munt;;;Renta neta media por hogar;2017;33.901
08007 Arenys de Munt;;;Renta neta media por hogar;2016;32.716
08007 Arenys de Munt;;;Renta neta media por hogar;2015;31.590
08008 Argençola;;;Renta neta media por hogar;2023;42.456
08008 Argençola;;;Renta neta media por hogar;2022;38.901
08008 Argençola;;;Renta neta media por hogar;2021;37.888
08008 Argençola;;;Renta neta media por hogar;2020;35.631
08008 Argençola;;;Renta neta media por hogar;2019;36.511
08008 Argençola;;;Renta neta media por hogar;2018;34.434
08008 Argençola;;;Renta neta media por hogar;2017;33.848
08008 Argençola;;;Renta neta media por hogar;2016;34.122
08008 Argençola;;;Renta neta media por hogar;2015;31.783
08009 Argentona;;;Renta neta media por hogar;2023;50.252
08009 Argentona;;;Renta neta media por hogar;2022;46.865
08009 Argentona;;;Renta neta media por hogar;2021;44.369
08009 Argentona;;;Renta neta media por hogar;2020;43.092
08009 Argentona;;;Renta neta media por hogar;2019;42.230
08009 Argentona;;;Renta neta media por hogar;2018;40.828
08009 Argentona;;;Renta neta media por hogar;2017;38.409
08009 Argentona;;;Renta neta media por hogar;2016;37.055
08009 Argentona;;;Renta neta media por hogar;2015;36.103
08010 Artés;;;Renta neta media por hogar;2023;40.915
08010 Artés;;;Renta neta media por hogar;2022;38.690
08010 Artés;;;Renta neta media por hogar;2021;37.276
08010 Artés;;;Renta neta media por hogar;2020;35.975
08010 Artés;;;Renta neta media por hogar;2019;36.393
08010 Artés;;;Renta neta media por hogar;2018;35.378
08010 Artés;;;Renta neta media por hogar;2017;34.473
08010 Artés;;;Renta neta media por hogar;2016;33.360
08010 Artés;;;Renta neta media por hogar;2015;31.541
08011 Avià;;;Renta neta media por hogar;2023;42.136
08011 Avià;;;Renta neta media por hogar;2022;40.144
08011 Avià;;;Renta neta media por hogar;2021;39.236
08011 Avià;;;Renta neta media por hogar;2020;37.911
08011 Avià;;;Renta neta media por hogar;2019;37.072
08011 Avià;;;Renta neta media por hogar;2018;35.240
08011 Avià;;;Renta neta media por hogar;2017;33.650
08011 Avià;;;Renta neta media por hogar;2016;33.172
08011 Avià;;;Renta neta media por hogar;2015;31.996
08012 Avinyó;;;Renta neta media por hogar;2023;41.303
08012 Avinyó;;;Renta neta media por hogar;2022;38.647
08012 Avinyó;;;Renta neta media por hogar;2021;37.523
08012 Avinyó;;;Renta neta media por hogar;2020;37.021
08012 Avinyó;;;Renta neta media por hogar;2019;37.346
08012 Avinyó;;;Renta neta media por hogar;2018;34.702
08012 Avinyó;;;Renta neta media por hogar;2017;32.965
08012 Avinyó;;;Renta neta media por hogar;2016;32.940
08012 Avinyó;;;Renta neta media por hogar;2015;31.937
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2023;41.527
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2022;39.864
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2021;37.436
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2020;35.792
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2019;36.176
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2018;35.782
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2017;34.044
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2016;33.852
08013 Avinyonet del Penedès;;;Renta neta media por hogar;2015;32.078
08014 Aiguafreda;;;Renta neta media por hogar;2023;43.125
08014 Aiguafreda;;;Renta neta media por hogar;2022;41.015
08014 Aiguafreda;;;Renta neta media por hogar;2021;38.897
08014 Aiguafreda;;;Renta neta media por hogar;2020;38.551
08014 Aiguafreda;;;Renta neta media por hogar;2019;37.613
08014 Aiguafreda;;;Renta neta media por hogar;2018;35.917
08014 Aiguafreda;;;Renta neta media por hogar;2017;34.366
08014 Aiguafreda;;;Renta neta media por hogar;2016;33.503
08014 Aiguafreda;;;Renta neta media por hogar;2015;32.721
08015 Badalona;;;Renta neta media por hogar;2023;38.955
08015 Badalona;;;Renta neta media por hogar;2022;36.335
08015 Badalona;;;Renta neta media por hogar;2021;35.126
08015 Badalona;;;Renta neta media por hogar;2020;33.689
08015 Badalona;;;Renta neta media por hogar;2019;33.689
08015 Badalona;;;Renta neta media por hogar;2018;32.249
08015 Badalona;;;Renta neta media por hogar;2017;30.705
08015 Badalona;;;Renta neta media por hogar;2016;29.847
08015 Badalona;;;Renta neta media por hogar;2015;29.062
08016 Bagà;;;Renta neta media por hogar;2023;39.005
08016 Bagà;;;Renta neta media por hogar;2022;36.788
08016 Bagà;;;Renta neta media por hogar;2021;35.505
08016 Bagà;;;Renta neta media por hogar;2020;34.981
