anio,region,total,Micro,Pequeña,Mediana,Grandes
2018-01-01,Artigas,6820,3288,2177,1355,724
2018-01-01,Canelones,68558,28716,19833,20009,15751
2018-01-01,Cerro Largo,8492,3656,2961,1875,2180
2018-01-01,Colonia,23420,10024,7322,6074,6481
2018-01-01,Durazno,6446,2951,2115,1380,2321
2018-01-01,Flores,3382,1628,1243,511,788
2018-01-01,Florida,9803,4267,3110,2426,1189
2018-01-01,Lavalleja,7584,3331,2488,1765,1998
2018-01-01,Maldonado,41428,16125,13764,11539,10232
2018-01-01,Montevideo,328751,112516,100098,116137,223734
2018-01-01,Paysandú,16038,6663,5493,3882,3885
2018-01-01,Rio Negro,7505,3322,2535,1648,1515
2018-01-01,Rivera,10120,4404,3086,2630,2341
2018-01-01,Rocha,11100,5862,3242,1996,1567
2018-01-01,Salto,14451,5285,4470,4696,3395
2018-01-01,San José,14955,6766,4196,3993,4386
2018-01-01,Sin codificar,539,457,82,0,0
2018-01-01,Soriano,11310,4939,3914,2457,2418
2018-01-01,Tacuarembó,9797,4715,3134,1948,2775
2018-01-01,Treinta y Tres,5508,2736,1822,950,793
2019-01-01,Artigas,6762,3362,2109,1291,880
2019-01-01,Canelones,69376,29448,20164,19764,17066
2019-01-01,Cerro Largo,8409,3823,2824,1762,2535
2019-01-01,Colonia,23762,10300,7285,6177,6606
2019-01-01,Durazno,6477,3012,2142,1323,2332
2019-01-01,Flores,3389,1618,1184,587,807
2019-01-01,Florida,9693,4290,3090,2313,1233
2019-01-01,Lavalleja,7692,3440,2451,1801,1846
2019-01-01,Maldonado,41230,16598,13652,10980,10364
2019-01-01,Montevideo,325917,112890,99163,113864,222236
2019-01-01,Paysandú,16450,7145,5383,3922,3457
2019-01-01,Rio Negro,7855,3529,2509,1817,1542
2019-01-01,Rivera,9921,4585,2969,2367,2161
2019-01-01,Rocha,10841,5756,3205,1880,1562
2019-01-01,Salto,14402,5510,4361,4531,3574  
2019-01-01,San José,14703,6787,4205,3711,4414
2019-01-01,Sin codificar,575,481,94,0,0
2019-01-01,Soriano,11257,5098,3746,2413,2414
2019-01-01,Tacuarembó,10259,5021,3056,2182,2579
2019-01-01,Treinta y Tres,5555,2768,1727,1060,765
2020-01-01,Artigas,6378,3409,2016,953,734
2020-01-01,Canelones,66683,29708,19425,17550,15829
2020-01-01,Cerro Largo,7964,3790,2584,1590,1998
2020-01-01,Colonia,22617,10454,6867,5296,6013
2020-01-01,Durazno,6531,3246,1983,1302,2291
2020-01-01,Flores,3335,1606,1092,637,711
2020-01-01,Florida,9603,4345,2898,2360,1069
2020-01-01,Lavalleja,7387,3492,2281,1614,1812
2020-01-01,Maldonado,38137,16832,12734,8571,8286
2020-01-01,Montevideo,303654,112635,90105,100914,200288
2020-01-01,Paysandú,15822,7224,5190,3408,3318
2020-01-01,Rio Negro,7848,3723,2370,1755,1528
2020-01-01,Rivera,9153,4646,2681,1826,1861
2020-01-01,Rocha,10342,5816,2946,1580,1539
2020-01-01,Salto,13750,5639,4218,3893,3381
2020-01-01,San José,14242,6777,4152,3313,4096
2020-01-01,Sin codificar,512,451,61,0,0
2020-01-01,Soriano,10999,5139,3734,2126,2255
2020-01-01,Tacuarembó,10105,5028,2946,2131,2486
2020-01-01,Treinta y Tres,5153,2685,1641,827,776
2021-01-01,Artigas,6880,3465,2082,1333,814
2021-01-01,Canelones,71799,30998,21373,19428,17978
2021-01-01,Cerro Largo,8529,3972,2666,1891,1985
2021-01-01,Colonia,23272,10503,7006,5763,6661
2021-01-01,Durazno,6976,3272,2268,1436,2361
